SK_ID_CURR,Prediction,Conclusion
100001.0,0,Baik
100005.0,0,Baik
100013.0,0,Baik
100028.0,0,Baik
100038.0,0,Baik
100042.0,0,Baik
100057.0,0,Baik
100065.0,0,Baik
100066.0,0,Baik
100067.0,0,Baik
100074.0,0,Baik
100090.0,0,Baik
100091.0,0,Baik
100092.0,0,Baik
100106.0,0,Baik
100107.0,0,Baik
100109.0,0,Baik
100117.0,0,Baik
100128.0,0,Baik
100141.0,0,Baik
100150.0,0,Baik
100168.0,0,Baik
100169.0,0,Baik
100170.0,0,Baik
100171.0,0,Baik
100172.0,0,Baik
100184.0,0,Baik
100187.0,0,Baik
100212.0,0,Baik
100222.0,0,Baik
100223.0,0,Baik
100232.0,0,Baik
100241.0,0,Baik
100245.0,0,Baik
100253.0,0,Baik
100256.0,0,Baik
100271.0,0,Baik
100278.0,0,Baik
100280.0,0,Baik
100306.0,0,Baik
100311.0,0,Baik
100312.0,0,Baik
100330.0,0,Baik
100331.0,0,Baik
100352.0,0,Baik
100358.0,0,Baik
100367.0,0,Baik
100382.0,0,Baik
100384.0,0,Baik
100385.0,0,Baik
100386.0,0,Baik
100399.0,0,Baik
100404.0,0,Baik
100416.0,0,Baik
100422.0,0,Baik
100426.0,0,Baik
100438.0,0,Baik
100444.0,0,Baik
100445.0,0,Baik
100446.0,0,Baik
100447.0,0,Baik
100450.0,0,Baik
100466.0,0,Baik
100483.0,0,Baik
100484.0,0,Baik
100494.0,0,Baik
100510.0,0,Baik
100512.0,0,Baik
100517.0,0,Baik
100548.0,0,Baik
100551.0,0,Baik
100552.0,0,Baik
100553.0,0,Baik
100561.0,0,Baik
100568.0,0,Baik
100569.0,0,Baik
100591.0,0,Baik
100592.0,0,Baik
100602.0,0,Baik
100607.0,0,Baik
100613.0,0,Baik
100617.0,0,Baik
100618.0,0,Baik
100622.0,0,Baik
100625.0,0,Baik
100677.0,0,Baik
100699.0,0,Baik
100702.0,0,Baik
100711.0,0,Baik
100729.0,0,Baik
